Subject,Question,Image,OptionA,OptionB,OptionC,OptionD,Answer
General Knowledge,Who presides over the joint session of Parliament?,,Speaker of Lok Sabha,Prime Minister,President of India,Chairman of Rajya Sabha,President of India
General Knowledge,The Vice-President of India is elected by:,,Members of Lok Sabha,Members of Rajya Sabha,Members of both Lok Sabha and Rajya Sabha,State Legislative Assemblies,Members of both Lok Sabha and Rajya Sabha
History,Which Mughal emperor built the Agra Fort?,,Shah Jahan,Akbar,Jahangir,Aurangzeb,Akbar
History,The famous Khajuraho Temples are associated with which dynasty?,,Maurya,Gupta,Chandela,Rajput,Chandela
History,When was Goa liberated from Portuguese rule and integrated into India?,,1947,1956,1961,1987,1961
History,The Iron Pillar at Mehrauli belongs to which dynasty?,,Maurya,Kushan,Gupta,Chandela,Gupta
History,The Mansabdari system was a feature of whose reign?,,Babur,Akbar,Jahangir,Shah Jahan,Akbar
History,The Battle of Plassey was fought between British East India Company and ____________:,,Tipu Sultan,Siraj-ud-Daulah,Mir Qasim,Haider Ali,Siraj-ud-Daulah
History,Who was the first Governor-General of British India?,,Lord Dalhousie,Warren Hastings,Lord Cornwallis,Robert Clive,Warren Hastings
History,The Revolt of 1857 began from:,,Delhi,Kanpur,Jhansi,Meerut,Meerut
History,The Green Revolution in India began during whose tenure as Prime Minister?,,Jawaharlal Nehru,Lal Bahadur Shastri,Indira Gandhi,Morarji Desai,Lal Bahadur Shastri
History,"Which Indian Prime Minister gave the slogan “Jai Jawan, Jai Kisan”?",,Jawaharlal Nehru,Lal Bahadur Shastri,Indira Gandhi,Morarji Desai,Lal Bahadur Shastri
History,Who was the first Chief Election Commissioner of India?,,Sukumar Sen,TN Seshan,RK Trivedi,SP Mukherjee,Sukumar Sen
Current Affairs,Who was the Chief Guest at the Republic Day Parade 2025?,,US President,Indonesia President,French President,Japanese Prime Minister,Indonesia President
Current Affairs,India has expanded its UPI system internationally to which of these countries?,,UAE & Singapore,Thailand & Indonesia,Russia & Brazil,South Africa & Zimbabwe,UAE & Singapore
Current Affairs,Defence exports from India reached an all-time high of about:,,"?10,000 crore","?15,000 crore","?23,000 crore","?50,000 crore","?23,000 crore"
Current Affairs,Which state became India’s largest economy in 2024–25?,,Maharashtra,Gujarat,Karnataka,Tamil Nadu,Maharashtra
Current Affairs,India surpassed which country to become the third-largest solar power generator in the world?,,USA,China,Germany,Japan,Japan
Current Affairs,Operation Black Forest (2025) was launched against which threat?,,Border infiltration,Naxalite–Maoist insurgents,Cyber attacks,Piracy in Indian Ocean,Naxalite–Maoist insurgents
Current Affairs,The longest rail tunnel breakthrough in India (2025) was part of a project to connect:,,Rishikesh-Karnaprayag,Jammu-Srinagar,Kalka-Manali,Kolkata-Siliguri,Rishikesh-Karnaprayag
Current Affairs,Operation Brahma involved India’s humanitarian response to an earthquake in which country?,,Nepal,Bangladesh,Myanmar,Afghanistan,Myanmar
Current Affairs,he Government of India launched which digital education initiative to train citizens in basic AI skills?,,LearnAI India,YUVA AI for ALL,AI Bharat Mission,Digi AI Skill,YUVA AI for ALL
Current Affairs,Which foreign tech company announced a $17.5 billion investment in India’s cloud and AI infrastructure?,,Google,Microsoft,Apple,Amazon,Microsoft
Current Affairs,Which global cultural recognition did India receive in 2025 for Diwali?,,UNESCO World Heritage Site,UNESCO Cultural Heritage,UNESCO Intangible Cultural Heritage,UNESCO World Heritage Festival,UNESCO Intangible Cultural Heritage
Current Affairs,Which city in India was approved to host the 2030 Commonwealth Games?,,New Delhi,Pune,Ahmedabad,Gandhinagar,Ahmedabad
Countries & Capitals,What is the capital of Ukraine?,,Kyiv,Odessa,Lviv,Kharkhiv,Kyiv
Countries & Capitals,What is the capital of Sweden?,,Bern,Stockholm,Oslo,Helsinki,Stockholm
Countries & Capitals,What is the capital of Israel?,,Tel Aviv,Haifa,Jerusalem,Beersheba,Jerusalem
Countries & Capitals,What is the capital of Argentina?,,Peru,Buenos Aires,Madrid,Prague,Buenos Aires
Countries & Capitals,Which country has the largest Muslim population?,,India,Pakistan,Indonesia,Malaysia,Indonesia
Countries & Capitals,Which country has the longest coastline in the world?,,USA,Australia,Canada,Russia,Canada
Countries & Capitals,Which country has the highest population density in the world?,,Bangladesh,India,Monaco,Hong Kong,Monaco
Countries & Capitals,Which country uses the Yen as its currency?,,China,Thailand,South Korea,Japan,Japan
Countries & Capitals,Which country has the most volcanoes?,,Australia,Japan,Indonesia,Vietnam,Indonesia
DRDO,CAIR is part of which DRDO Technology Cluster?,,MSS,ECS,MCC,AERO,MCC
DRDO,Which of the following is not a Young Scientist Laboratory of DRDO?,,Quantum Technology,Asymmetric Technologies,Strategic Technologies,Cognitive Technologies,Strategic Technologies
DRDO,CFEES is part of which DRDO Cluster?,,SSS,ACE,MCC,SAM,ACE
DRDO,DIITM is part of which DRDO Corporate Cluster?,,HR,TM,PC&SI,R&M,PC&SI
DRDO,DP&C is part of which DRDO Corporate Cluster?,,HR,TM,PC&SI,R&M,R&M
DRDO,DRDO’s indigenous Very Short Range Air Defence System is known as,,AKASH,SHORADS,VSHORADS,HAWK AD,VSHORADS
DRDO,Astra is a type of:,,Anti-tank missile,Air-to-air missile,Surface-to-air missile,Cruise missile,Air-to-air missile
DRDO,Pinaka is a:,,Short-range ballistic missile,Multi-barrel rocket launcher,Air defense missile,UAV,Multi-barrel rocket launcher
DRDO,DRDO developed Nirbhay missile is a:,,Short-range ballistic missile,Anti-tank missile,Subsonic cruise missile,Surface-to-air missile,Subsonic cruise missile
DRDO,DRDO developed HELINA and Dhruvastra are types of:,,Short-range ballistic missile,Anti-tank guided missile,Subsonic cruise missile,Surface-to-air missile,Anti-tank guided missile
DRDO,Which DRDO product is a hybrid propulsion missile?,,Prithvi,Shaurya,Nirbhay,Akash,Nirbhay
DRDO,What does LRDE stand for?,,Light Radar Development Establishment,Laser Research and Development Establishment,Electronics Radar Development Establishment,Electronics Research and Development Establishment,Electronics Research and Development Establishment
DRDO,What does CEMILAC stand for?,,Centre for Military Aeronautical Laboratory and Certification,Centre for Military Aircraft Airworthiness Systems,Centre for Military Airworthiness and Certification,Centre for Electronics and Military Aircraft Certification,Centre for Military Airworthiness and Certification
DRDO,Which of the following is NOT an MSS cluster laboratory of DRDO,,TBRL,ASL,RCI,GTRE,GTRE
